id,skill_name,skill_book_id,skill_book_name,profession,level,type,effect,power,cost,cool_down,is_active,created_at,updated_at
32,剑心合一,2,青锋剑谱,剑修,5,战斗型被动,所有技能威力+15%，攻击时10%概率沉默目标,-,0,0,0,2026-04-27,2026-04-27
33,土刺阵,3,阵图基础,阵法师,1,主动,单体攻击，造成70%攻击力的土属性伤害,0.7,9,1,1,2026-04-27,2026-04-27
34,迷踪阵,3,阵图基础,阵法师,1,主动,单体攻击，造成65%攻击力的土属性伤害，20%概率使目标减速,0.65,8,1,1,2026-04-27,2026-04-27
35,困兽阵,3,阵图基础,阵法师,1,主动,单体攻击，造成68%攻击力伤害，15%概率使目标困兽1回合,0.68,10,1,1,2026-04-27,2026-04-27
36,地裂阵,3,阵图基础,阵法师,2,主动,远程攻击单体，造成88%攻击力的土属性伤害,0.88,13,2,1,2026-04-27,2026-04-27
37,尘土幕,3,阵图基础,阵法师,2,受击型,受到攻击时15%概率触发，减少20%受到的伤害,-,6,0,0,2026-04-27,2026-04-27
38,阵法基础,3,阵图基础,阵法师,2,战斗型被动,阵法威力+8%,-,0,0,0,2026-04-27,2026-04-27
39,碎石阵,3,阵图基础,阵法师,3,主动,攻击目标及周围1格，造成78%攻击力土属性伤害,0.78,16,2,1,2026-04-27,2026-04-27
40,固守阵,3,阵图基础,阵法师,3,主动,单体攻击，造成82%攻击力土属性伤害，25%概率使目标眩晕1回合,0.82,15,2,1,2026-04-27,2026-04-27
41,地牢阵,3,阵图基础,阵法师,3,受击型,受到攻击时18%概率触发，对攻击者造成反击伤害,-,8,0,0,2026-04-27,2026-04-27
42,阵法精通,3,阵图基础,阵法师,3,战斗型被动,阵法范围+10%,-,0,0,0,2026-04-27,2026-04-27
43,天崩阵,3,阵图基础,阵法师,4,主动,攻击单体，造成115%攻击力土属性伤害，30%概率使目标眩晕2回合,1.15,22,3,1,2026-04-27,2026-04-27
44,万石阵,3,阵图基础,阵法师,4,主动,攻击区域内所有敌人，造成85%攻击力土属性伤害,0.85,20,3,1,2026-04-27,2026-04-27
45,地脉护体,3,阵图基础,阵法师,4,受击型,受到致命攻击时20%概率触发，减少40%伤害,-,12,0,0,2026-04-27,2026-04-27
46,土御千里,3,阵图基础,阵法师,4,战斗型被动,防御+10%，受到控制时间-15%,-,0,0,0,2026-04-27,2026-04-27
47,八卦阵,3,阵图基础,阵法师,5,特殊,消耗40%法力，布置八卦阵，阵内所有敌人伤害-30%，持续3回合,-,40,5,1,2026-04-27,2026-04-27
48,山崩地裂,3,阵图基础,阵法师,5,主动,攻击区域内所有敌人，造成105%攻击力土属性伤害，25%概率眩晕所有目标2回合,1.05,28,4,1,2026-04-27,2026-04-27
49,大地守护,3,阵图基础,阵法师,5,战斗型被动,每损失15%生命，防御+8%，持续3回合,-,0,0,0,2026-04-27,2026-04-27
50,雷击术,4,天雷诀,法修,1,主动,单体攻击，造成70%攻击力的雷属性伤害,0.7,10,1,1,2026-04-27,2026-04-27
51,雷光弹,4,天雷诀,法修,1,主动,单体攻击，造成65%攻击力的雷属性伤害，18%概率麻痹,0.65,9,1,1,2026-04-27,2026-04-27
52,静电场,4,天雷诀,法修,1,主动,单体攻击，造成62%攻击力的雷属性伤害，20%概率减少目标法力,0.62,8,1,1,2026-04-27,2026-04-27
53,落雷术,4,天雷诀,法修,2,主动,远程攻击单体，造成88%攻击力的雷属性伤害,0.88,14,2,1,2026-04-27,2026-04-27
54,雷盾,4,天雷诀,法修,2,受击型,受到攻击时12%概率触发，反弹22%雷属性伤害,-,7,0,0,2026-04-27,2026-04-27
55,雷动九天,4,天雷诀,法修,2,战斗型被动,雷属性技能威力+8%,-,0,0,0,2026-04-27,2026-04-27
56,五雷轰顶,4,天雷诀,法修,3,主动,攻击目标及周围1格，造成78%攻击力雷属性伤害，15%概率眩晕,0.78,17,2,1,2026-04-27,2026-04-27
57,雷狱牢笼,4,天雷诀,法修,3,主动,单体攻击，造成98%攻击力雷属性伤害，25%概率使目标麻痹1回合,0.98,16,3,1,2026-04-27,2026-04-27
58,天雷引,4,天雷诀,法修,3,受击型,受到攻击时15%概率触发，对攻击者造成反击伤害,-,9,0,0,2026-04-27,2026-04-27
59,雷霆万钧,4,天雷诀,法修,3,战斗型被动,攻击时12%概率使目标麻痹1回合,-,0,0,0,2026-04-27,2026-04-27
60,雷神降世,4,天雷诀,法修,4,主动,远程攻击单体，造成115%攻击力的雷属性伤害,1.15,23,3,1,2026-04-27,2026-04-27
61,万雷天牢,4,天雷诀,法修,4,主动,攻击区域内所有敌人，造成85%攻击力雷属性伤害，18%概率使目标麻痹,0.85,21,3,1,2026-04-27,2026-04-27
62,雷云风暴,4,天雷诀,法修,4,受击型,受到攻击时22%概率触发，对所有敌人造成35%攻击力伤害,-,13,0,0,2026-04-27,2026-04-27
63,雷罚之眼,4,天雷诀,法修,4,战斗型被动,暴击率+10%，暴击伤害+18%，对麻痹目标伤害+12%,-,0,0,0,2026-04-27,2026-04-27
64,九天雷动,4,天雷诀,法修,5,特殊,消耗45%法力，对场上所有敌人造成105%攻击力雷属性伤害，35%概率使目标麻痹2回合,1.05,45,5,1,2026-04-27,2026-04-27
65,雷遁之术,4,天雷诀,法修,5,特殊,消耗25%法力，下回合免疫所有伤害并提升40%速度,-,25,4,1,2026-04-27,2026-04-27
66,雷泽之怒,4,天雷诀,法修,5,战斗型被动,每释放3个雷系技能后，下次雷系技能威力+40%,-,0,0,0,2026-04-27,2026-04-27
67,铁山靠,5,不动山决,体修,1,主动,单体攻击，造成70%攻击力的物理伤害，15%概率使目标眩晕,0.7,9,1,1,2026-04-27,2026-04-27
68,碎石拳,5,不动山决,体修,1,主动,单体攻击，造成68%攻击力的物理伤害，18%概率减少目标防御,0.68,8,1,1,2026-04-27,2026-04-27
69,铁布衫,5,不动山决,体修,1,主动,单体攻击，造成65%攻击力的物理伤害，20%概率提升自身防御,0.65,10,1,1,2026-04-27,2026-04-27
70,崩拳,5,不动山决,体修,2,主动,攻击单体，造成88%攻击力的物理伤害,0.88,14,2,1,2026-04-27,2026-04-27
71,金钟罩,5,不动山决,体修,2,受击型,受到攻击时减少12%伤害，8%概率反弹伤害,-,7,0,0,2026-04-27,2026-04-27
72,铜皮铁骨,5,不动山决,体修,2,战斗型被动,受到伤害-6%,-,0,0,0,2026-04-27,2026-04-27
73,横扫千军,5,不动山决,体修,3,主动,攻击目标及周围1格，造成78%攻击力物理伤害,0.78,16,2,1,2026-04-27,2026-04-27
74,伏虎拳,5,不动山决,体修,3,主动,攻击单体，造成98%攻击力物理伤害，22%概率使目标眩晕1回合,0.98,15,2,1,2026-04-27,2026-04-27
75,不动如山,5,不动山决,体修,3,受击型,受到攻击时减少18%伤害，12%概率反击65%伤害,-,9,0,0,2026-04-27,2026-04-27
76,金刚不坏,5,不动山决,体修,3,战斗型被动,每损失10%生命，防御力+4%,-,0,0,0,2026-04-27,2026-04-27
77,天崩地裂,5,不动山决,体修,4,主动,攻击单体，造成115%攻击力物理伤害，30%概率眩晕,1.15,22,3,1,2026-04-27,2026-04-27
78,霸体之术,5,不动山决,体修,4,主动,接下来3回合受到伤害-35%，无法被击退,-,20,4,1,2026-04-27,2026-04-27
79,山崩于前,5,不动山决,体修,4,受击型,受到致命攻击时22%概率触发，减少40%伤害,-,12,0,0,2026-04-27,2026-04-27
80,战斗本能,5,不动山决,体修,4,战斗型被动,生命值越低攻击力越高，最高+22%,-,0,0,0,2026-04-27,2026-04-27
81,破釜沉舟,5,不动山决,体修,5,特殊,消耗35%当前生命，下回合攻击力+80%，防御力+40%,-,0,5,1,2026-04-27,2026-04-27
82,固若金汤,5,不动山决,体修,5,特殊,消耗25%法力，接下来3回合受到伤害-50%，反弹所有伤害的25%,-,25,4,1,2026-04-27,2026-04-27
83,山河依旧,5,不动山决,体修,5,战斗型被动,每损失18%生命，回复1.5%最大生命值,-,0,0,0,2026-04-27,2026-04-27
84,水弹术,6,水云诀,儒修,1,主动,单体攻击，造成70%攻击力的水属性伤害,0.7,9,1,1,2026-04-27,2026-04-27
85,寒冰刺,6,水云诀,儒修,1,主动,单体攻击，造成65%攻击力的冰属性伤害，18%概率减速,0.65,8,1,1,2026-04-27,2026-04-27
86,水盾,6,水云诀,儒修,1,主动,单体攻击，造成62%攻击力伤害，20%概率减少目标攻击速度,0.62,10,1,1,2026-04-27,2026-04-27
87,寒冰箭,6,水云诀,儒修,2,主动,远程攻击单体，造成88%攻击力的冰属性伤害,0.88,13,2,1,2026-04-27,2026-04-27
88,水之镜,6,水云诀,儒修,2,受击型,受到攻击时12%概率触发，闪避该次攻击,-,6,0,0,2026-04-27,2026-04-27
89,潮汐之力,6,水云诀,儒修,2,战斗型被动,水属性技能威力+8%,-,0,0,0,2026-04-27,2026-04-27
90,冰魄寒光,6,水云诀,儒修,3,主动,攻击目标及周围1格，造成78%攻击力冰属性伤害，18%概率冻结,0.78,16,2,1,2026-04-27,2026-04-27
91,洪水滔天,6,水云诀,儒修,3,主动,单体攻击，造成98%攻击力水属性伤害，25%概率使目标减速1回合,0.98,15,2,1,2026-04-27,2026-04-27
92,寒冰护体,6,水云诀,儒修,3,受击型,受到攻击时15%概率冻结攻击者1回合,-,8,0,0,2026-04-27,2026-04-27
93,水漫金山,6,水云诀,儒修,3,战斗型被动,攻击时15%概率使目标减速1回合,-,0,0,0,2026-04-27,2026-04-27
94,绝对零度,6,水云诀,儒修,4,主动,远程攻击单体，造成115%攻击力的冰属性伤害,1.15,22,3,1,2026-04-27,2026-04-27
95,海啸之灾,6,水云诀,儒修,4,主动,攻击区域内所有敌人，造成85%攻击力水属性伤害，22%概率使目标冻结,0.85,20,3,1,2026-04-27,2026-04-27
96,冬眠之术,6,水云诀,儒修,4,受击型,受到攻击时18%概率触发，使目标陷入沉睡1回合,-,10,0,0,2026-04-27,2026-04-27
97,碧海心经,6,水云诀,儒修,4,战斗型被动,法力消耗-12%，所有水属性技能+10%效果,-,0,0,0,2026-04-27,2026-04-27
98,冰封千里,6,水云诀,儒修,5,特殊,消耗40%法力，对场上所有敌人造成105%攻击力冰属性伤害，30%概率冻结2回合,1.05,40,5,1,2026-04-27,2026-04-27
99,春水东流,6,水云诀,儒修,5,特殊,消耗25%法力，全体队友解除所有负面状态，回复25%最大生命值,-,25,4,1,2026-04-27,2026-04-27
100,上善若水,6,水云诀,儒修,5,战斗型被动,受到伤害时12%概率将25%伤害转化为自身法力,-,0,0,0,2026-04-27,2026-04-27
